6,(B) 2
7,(B) 1
8,(B) 2
9,(B) Yellow
81,(E) 5
82,(E) 3
83,(B) 1
84,(E) 5
85,(E) 5
61,C. 2
62,(C) 3
63,(C) Paper
64,(C) Purple
65,(C) Scared
1,(B) 1
2,(C) red
3,(B) Propose
4,(A) Couple
5,(B) 2
10,(A) 2
11,(B) 1
12,(A) 2 is the harasser and 1 is the victim
13,(B) 1
14,(B) 2
15,(B) 2
16,(B) 1
17,(B) 1
18,(A) He starts singing into the microphone
19,(B) No, there are two more people who look like sound engineers
20,(B) Yes
21,(A) Yes
22,(B) 3
23,(A) 2
24,A woman is wearing a yellow shirt near the computer.
25,A. Both 1 and 2
26,(B) 2
27,(B) 2
28,(A) sad
29,(A) A formal waiter restaurant suit
76,b. 2
77,a. purple
78,a. 2
79,b. 2
80,a. 2
30,(B) 2
31,a. 1
32,(A) person4's face is covered in soot and dust due to a failed spell that caused an explosion.
33,b. long
43,(B) 2
44,(B) 1
45,b. 2
46,(B) 2
34,(B) 1
35,a. 1
36,(B) 2
37,(B) Sack
52,(B) 1
53,(C) Elevator
54,(C) Scared
55,(C) Officer
96,(A) 1
97,a. 2
98,b. 2
99,(B) 1
100,(B) 2
56,C. 1
57,C. 1
58,(A) 3
59,(B) 1
60,(C) Ginger
66,a. 1
67,a. 2
68,a. 1
69,a. 2
70,b. 2
71,a. 1
72,(A) 2
73,a. 1
74,(B) 1
75,b. 2
86,b. 2
87,a. 2
88,(B) 2
89,b. 2
90,a. 2
91,a. 1
92,(B) 1
93,a. 1
94,(B) 1
95,(B) 2
47,(B) 1
48,(B) 1
49,(A) Plaid shirt
50,(D) Blue
51,(B) 1
38,(B) 1
39,b. 1
40,(B) Black
41,(B) 1
42,(B) 2
1,(B) 1
2,(C) red
3,(B) Propose
4,(A) Couple
5,(B) 2
6,(B) 2
7,(B) 1
8,(B) 2
9,(B) Yellow
81,(E) 5
82,(E) 3
83,(B) 1
84,(E) 5
85,(E) 5
61,C. 2
62,(C) 3
63,(C) Paper
64,(C) Purple
65,(C) Scared
10,(A) 2
11,(B) 1
12,(A) 2 is the harasser and 1 is the victim
13,(B) 1
14,(B) 2
15,(B) 2
16,(B) 1
17,(B) 1
18,(A) He starts singing into the microphone
19,(B) No, there are two more people who look like sound engineers
20,(B) Yes
21,(A) Yes
22,(B) 3
23,(A) 2
24,A woman is wearing a yellow shirt near the computer.
25,A. Both 1 and 2
26,(B) 2
27,(B) 2
28,(A) sad
29,(A) A formal waiter restaurant suit
76,b. 2
77,a. purple
78,a. 2
79,b. 2
80,a. 2
30,(B) 2
31,a. 1
32,(A) person4's face is covered in soot and dust due to a failed spell that caused an explosion.
33,b. long
43,(B) 2
44,(B) 1
45,b. 2
46,(B) 2
34,(B) 1
35,a. 1
36,(B) 2
37,(B) Sack
52,(B) 1
53,(C) Elevator
54,(C) Scared
55,(C) Officer
96,(A) 1
97,a. 2
98,b. 2
99,(B) 1
100,(B) 2
56,C. 1
57,C) 1
58,(A) 3
59,(B) 1
60,(C) Ginger
66,a. 1
67,a. 2
68,a. 1
69,a. 2
70,b. 2
71,a. 1
72,(A) 2
73,a. 1
74,(B) 1
75,b. 2
86,b. 2
87,a. 2
88,(B) 2
89,b. 2
90,a. 2
91,a. 1
92,(B) 1
93,a. 1
94,(B) 1
95,(B) 2
47,(B) 1
48,(B) 1
49,(A) Plaid shirt
50,(D) Blue
51,(B) 1
38,(B) 1
39,b. 1
40,(B) Black
41,(B) 1
42,(B) 2
